Cluster,Name,Abbreviation,Region,Level,Tiers,Group,Available,Prereqs,Challenge,Note
In Their Absence,Sâri-surma,SS,Forochel,65-115,2,Fellowship,VIP/QP,Discover[3],Daily,
In Their Absence,Northcotton Farms,NF or Ncf,Evendim,65-115,2,Small Fellowship,VIP/QP,Discover[3],Daily,
In Their Absence,Stoneheight,Sth,The North Downs,65-115,2,Small Fellowship,VIP/QP,Discover[3],Daily,
Rise of Isengard,Dargnákh Unleashed,DU,Isengard,75,2,Small Fellowship,Exp/Buy,Discover[3],Biweekly,
Rise of Isengard,Fangorn's Edge,FE,Isengard,75,2,Small Fellowship,Exp/Buy,Discover[3],Biweekly,
Rise of Isengard,Pits of Isengard,PoI or Pits,Isengard,75,2,Small Fellowship,Exp/Buy,Discover[3],Biweekly,
Rise of Isengard,The Foundry,Foundry,Isengard,75,2,Fellowship,Exp/Buy,Discover[3],Biweekly,
Rise of Isengard,Roots of Fangorn,RoF,Great River,75,2,Fellowship,VIP/QP,Discover[3],Biweekly,
The Road to Erebor,Seat of the Great Goblin,SGG,The Misty Mountains,20-115,2,Small Fellowship,Exp/Buy,,Daily,See also Erebor Instances.
The Road to Erebor,Iorbar's Peak,IP,The Misty Mountains,20-115,2,Small Fellowship,Exp/Buy,,Daily,See also Erebor Instances.
The Road to Erebor,Webs of the Scuttledells,Webs,Mirkwood,20-115,2,Small Fellowship,Exp/Buy,,Daily,See also Erebor Instances.
The Road to Erebor,The Bells of Dale,Bells,Erebor,20-115,2,Fellowship,Exp/Buy,,Daily,See also Erebor Instances.
Helm's Deep,Helm's Dike,Dike,West Rohan,10-115,,"Solo/Duo, Fellowship (Six)",Free,Epic Battles,?,
Helm's Deep,The Deeping Wall,Wall or DW,West Rohan,10-115,,"Solo/Duo, Raid (Twelve)",Exp,Epic Battles,?,
Helm's Deep,The Deeping-coomb,Coomb or DC,West Rohan,10-115,,Solo/Duo,Exp,Epic Battles,?,
Helm's Deep,The Glittering Caves,GC,West Rohan,10-115,,"Solo/Duo, Small Fellowship (Three)",Exp,Epic Battles,?,
Helm's Deep,The Hornburg,Hornburg,West Rohan,10-115,,Solo/Duo,Exp,Epic Battles,?,
War for Gondor,Retaking Pelargir,Pela or Pel or Pelargir,Central Gondor,10-115,,"Solo/Duo, Fellowship (Six)",Free,Epic Battles,?,
War for Gondor,Defence of Minas Tirith,MT or Defence,Old Anórien,10-115,,"Solo/Duo, Small Fellowship (Three)",VIP/QP,Epic Battles,?,
War for Gondor,Hammer of the Underworld,Hammer,Old Anórien,10-115,,"Solo/Duo, Fellowship (Six)",VIP/QP,Epic Battles,?,
Osgiliath,Sunken Labyrinth,SL,Eastern Gondor,50-115,2,Small Fellowship (Three),VIP/QP,,Daily,Destroy the hidden forces beneath Osgiliath
Osgiliath,The Ruined City,RC,Eastern Gondor,50-115,2,Small Fellowship (Three),VIP/QP,,Daily,Fight through Osgiliath in search of Faramir
Osgiliath,The Dome of Stars,DoS or Dome,Eastern Gondor,50-115,2,Fellowship (Six),VIP/QP,,Daily,Reclaim the Dome of Stars from the Nazgûl
Battle of Pelennor,Blood of the Black Serpent,BBS,Old Anórien,75-115,2,Small Fellowship (Three),VIP/QP,,Daily,The Riders of Rohan face the Haradrim and Variags
Battle of Pelennor,The Quays of the Harlond,Quays,Old Anórien,75-115,2,Small Fellowship (Three),VIP/QP,,Daily,Assault the Harlond alongside Aragorn's army!
Battle of Pelennor,The Silent Street,TSS,Old Anórien,75-115,2,Fellowship (Six),VIP/QP,,Daily,"Rath Dínen, the tombs of the Kings and Stewards of Gondor"
